employee_id;employee_name;designation;salary;retirement;other_benefits;total_benefits;total_compensation
32918;Darrell Cobb;Deputy Probation Officer;72020.52;12687.75;1199.86;26805.85;98826.37
33094;Mr. William Benitez;Deputy Probation Officer;51760.51;9354.81;938.27;17278.5;73138.56
33614;Connie Hamilton;Deputy Probation Officer;71543.51;12655.55;1221.34;13876.89;85720.4
33629;Daniel Lowery;Deputy Probation Officer;71986.9;12604.43;1222.49;23488.03;95474.93
36193;Anthony Brooks;Deputy Probation Officer;96526.65;17006.2;1692.9;31617.34;128143.99
38724;Jason Mcgee;Deputy Probation Officer;96152.51;16940.51;1633.57;31492.32;127644.83
39810;Sheila Peters;Deputy Probation Officer;96242;16955.79;1635.09;31509.12;127751.12
4017;Christopher Johnson;Deputy Probation Officer;84172.82;14825.02;1427.88;29171.15;113343.97
40308;Bridget Sanchez;Deputy Probation Officer;96242;16955.8;1622.3;31496.34;127738.34
40383;Trevor Stewart;Deputy Probation Officer;96152.53;16940.51;1525.31;31384.07;127536.6
42999;Deanna Carter;Deputy Probation Officer;96152.5;16940.51;240.01;30098.76;126251.26
43132;Debra Olson;Deputy Probation Officer;96241.16;16956.53;1526.82;31401.59;127642.75
43337;Allen Schroeder;Deputy Probation Officer;96152.5;16940.51;1633.57;31492.32;127644.82
43625;James Sullivan;Deputy Probation Officer;95509.16;16829.13;1622.63;31283.82;126792.98
43878;Debra Moore;Deputy Probation Officer;86221.21;15186.48;1135.05;29239.77;115460.98
4398;Arthur Ramos;Deputy Probation Officer;96152.5;16940.51;1632.09;31490.84;127643.34
46629;Earl Simmons;Deputy Probation Officer;35267;0;2730.36;7467.05;42734.05
46637;Nicholas Herrera;Deputy Probation Officer;86221.22;15186.49;1435.42;29540.15;115761.37
46714;Tanya Cunningham;Deputy Probation Officer;78183.64;13769.94;1316.83;28005.01;106188.65
47110;Justin Gonzalez;Deputy Probation Officer;79526.57;14009.91;1350.93;28279.08;107805.65
47541;Allen Howard;Deputy Probation Officer;64888.2;11528.79;1102.28;22678.59;87566.79
47802;Daniel Munoz;Deputy Probation Officer;96152.51;16940.51;224.31;30083.06;126235.57
48056;Angel Cole;Deputy Probation Officer;95663.21;16853.91;1625.26;31331.63;126994.84
48373;Brandon Hill;Deputy Probation Officer;96152.56;16940.51;1633.57;31492.32;127644.88
48620;Taylor Sullivan;Deputy Probation Officer;76487.01;13469.77;1246.83;27634.84;104121.85
48708;Devon Gonzalez;Deputy Probation Officer;96242.03;16955.8;1635.09;31509.13;127751.16
48997;Matthew Garza;Deputy Probation Officer;76487.02;13469.77;1273.25;27661.26;104148.28
49370;Samuel Perez;Deputy Probation Officer;64523.45;11381.51;1073.94;24772.1;89295.55
49580;Jason Wong;Deputy Probation Officer;96460.5;16998.39;1637.33;31547.99;128008.49
50368;Joshua Cox;Deputy Probation Officer;2685.01;0;207.87;566.71;3251.72
50802;Elizabeth Davidson;Deputy Probation Officer;96152.51;16940.51;1581.14;31439.89;127592.4
52533;Mrs. Melissa Peterson;Deputy Probation Officer;93962.69;16545.23;1577.88;30877.66;124840.35
52859;Jennifer Medina;Deputy Probation Officer;0;0;162.47;170.06;11374.92
53635;Terry Simmons PhD;Deputy Probation Officer;61938.37;10961.42;1049.9;20339.34;82277.71
55468;Julie Elliott;Deputy Probation Officer;96152.53;16940.51;228.02;30086.77;126239.3
5560;Spencer Olson;Deputy Probation Officer;96106;16934.31;1631.31;31477.89;127583.89
55669;Dr. Autumn Carlson MD;Deputy Probation Officer;70308.22;12322.65;1150.02;24486.91;94795.13
55815;Jeffrey Shaw;Deputy Probation Officer;66139.71;11647.69;1100.86;25666.8;91806.51
56336;Kimberly Johnson;Deputy Probation Officer;66139.72;11647.69;1100.86;25666.79;91806.51
6285;Carrie Barnes;Deputy Probation Officer;51402.5;9293.63;126.86;16358.06;69971.21
6462;Anne Johnson;Deputy Probation Officer;59164.84;10354.94;960.58;20940.69;80105.53
6763;John Bell;Deputy Probation Officer;86221.22;15186.48;1433.94;29538.66;115759.88
6867;Oscar Olson;Deputy Probation Officer;89674.6;15790.32;1468.87;30177.43;119852.03
721;Danielle Gregory;Deputy Probation Officer;76266.2;13432.04;1295.51;27645.79;103911.99
830;Javier Fuller;Deputy Probation Officer;96152.5;16940.51;1581.14;31439.89;127592.39
8606;Timothy Carroll;Deputy Probation Officer;96154.29;16939.04;1615.14;31472.42;127626.71
8727;Brian Evans;Deputy Probation Officer;96152.51;16940.51;240.23;30098.98;126251.49
17958;Jacqueline Richards;Deputy Probation Officer SFERS;60164;11840.67;1021.77;25780.68;85944.68
18904;Alan Camacho;Deputy Probation Officer SFERS;60164.01;11840.67;998.95;25757.87;85921.88
24903;Michelle Fritz;Deputy Probation Officer SFERS;60164;12121.73;1023.33;26063.3;87642.37
27404;James Cruz;Deputy Probation Officer SFERS;60164;11840.67;1001.31;25760.22;85924.22
27439;Morgan Briggs;Deputy Probation Officer SFERS;60164.02;11840.67;1014.78;25773.71;85937.73
29057;Brandon Dominguez;Deputy Probation Officer SFERS;73346;14428.9;1220.93;28568.07;101914.07
33086;Robin Rivera;Deputy Probation Officer SFERS;60164;11840.67;1001.31;25760.22;85924.22
34583;Latoya Pham;Deputy Probation Officer SFERS;83331.63;16413.11;1415.62;30594.59;113926.22
35303;Patrick King;Deputy Probation Officer SFERS;60164;11840.67;1001.31;25760.22;85924.22
38937;Seth Marshall;Deputy Probation Officer SFERS;60164;11840.67;948.88;25707.79;85871.79
41827;Scott Andrade;Deputy Probation Officer SFERS;50908.04;9867.32;847.22;21718.97;72627.01
48074;Dennis Lee;Deputy Probation Officer SFERS;15463;3296.72;257.38;6903.28;22366.28
48187;Jodi Molina;Deputy Probation Officer SFERS;60164.01;11840.68;1001.87;25760.79;85924.8
48877;Gina Martin;Deputy Probation Officer SFERS;60164.01;11840.68;1001.31;25760.23;85924.24
48923;Gina Pratt;Deputy Probation Officer SFERS;60164;11851.33;964.66;25734.23;85948.23
51354;Matthew Salinas;Deputy Probation Officer SFERS;60149.56;11837.6;1001.07;25753.93;85903.49
7099;Samantha Hicks;Deputy Probation Officer SFERS;60164.01;11840.68;1002.33;25761.25;85925.26
10391;Kirk Delgado;Clerk;46343.71;10497.78;3696.71;27112.73;73456.44
32151;Bryan Henderson;Clerk;15481.13;3206.13;1254.74;8766.95;24248.08
54778;Lisa Cunningham;Clerk;20891.03;3190.88;1683.07;11093.84;31984.87
53794;Jessica Chaney;Principal Clerk;58697.17;11790.73;5012.02;27313.18;87377.58
17679;Benjamin Gonzalez;Chief Clerk;71363;14039.7;5551.19;32215.25;103578.25
12705;Brent Gray;Clerk Typist;5030.71;916.1;414.25;2517.21;7547.92
2144;Miguel Marquez;Clerk Typist;54756.02;11075.22;4590.99;28584.45;84948.47
21979;Joan Jones;Clerk Typist;42588;8543.67;3498.61;22089.8;64677.8
41072;Tiffany Tate;Clerk Typist;54132.92;10768.65;4442.71;27982.6;82756.16
41532;Marissa Davis;Clerk Typist;54756.04;11091.06;4553.06;28562.36;85006.4
47220;Larry Powers;Clerk Typist;54696.72;10875.9;4494.38;28274.53;83618.55
48248;Herbert Hunter;Sr Payroll & Personnel Clerk;65100.99;12645.3;5330.7;29356.26;94457.25
21079;Ronald Mckinney;Senior Account Clerk;18472;3363.76;1483.03;8674.42;27146.42
26917;Maria Torres;Senior Account Clerk;37886;7998.24;3064.96;20153.82;58039.82
15578;Michelle Rogers;Management Assistant;71626.42;14085.42;5564.6;32552.66;104179.08
34205;Tiffany Simon;Sr Community Devl Spc 1;21966.01;4683.14;1776.61;9808.93;31774.94
39039;Brett Robinson;Sr Community Dev Spec 2;24636;5252.4;2010.49;10133.62;34769.62
12883;Melissa Singh;Publ Svc Aide-Asst To Prof;16978.6;0;1314.49;7283.19;24261.79
15516;Michael Cameron;Publ Svc Aide-Asst To Prof;14904.04;0;1153.87;6393.29;21297.33
16033;Tracie Jimenez;Publ Svc Aide-Asst To Prof;3368.49;0;260.79;1444.96;4813.45
1874;David Trujillo;Publ Svc Aide-Asst To Prof;1071.79;0;82.98;459.76;1531.55
21333;Nicole Hoover;Publ Svc Aide-Asst To Prof;2943.16;0;227.86;1262.52;4205.68
24106;Nathan Dunn;Publ Svc Aide-Asst To Prof;12300.05;0;895.39;5219.41;17519.46
26181;Richard Jones;Publ Svc Aide-Asst To Prof;13593.02;0;1052.37;5830.92;19423.94
26196;Mark Martinez;Publ Svc Aide-Asst To Prof;9271.88;0;717.83;3977.29;13249.17
26233;Madeline Cordova;Publ Svc Aide-Asst To Prof;13948.23;0;1079.86;5983.29;19931.52
28284;Charles Moreno;Publ Svc Aide-Asst To Prof;7120.45;0;551.27;3054.42;10174.87
30910;Mark Finley;Publ Svc Aide-Asst To Prof;13967.36;0;1081.36;5991.49;19958.85
34551;George Graham;Publ Svc Aide-Asst To Prof;15056.12;0;1165.65;6458.54;21514.66
40424;Heather Santos;Publ Svc Aide-Asst To Prof;4125.56;0;319.4;1769.71;5895.27
42785;Mrs. Melissa Roy DVM;Publ Svc Aide-Asst To Prof;595.44;0;46.1;255.43;850.87
44541;Jessica Cole;Publ Svc Aide-Asst To Prof;6515.81;0;504.45;2795.05;9310.86
54778;Anthony Woodard;Publ Svc Aide-Asst To Prof;7604.57;0;588.74;3262.1;10866.67
54806;Aaron Adams;Publ Svc Aide-Asst To Prof;8174.55;0;632.88;3506.59;11681.14
9692;Tiffany Green;Publ Svc Aide-Asst To Prof;5375.98;0;416.2;2306.09;7682.07
10720;Michael Garcia;Sprv Adult Probation Ofc;108637.02;19140.07;1758.3;33816.61;142453.63
1517;Mary Brown;Sprv Adult Probation Ofc;99059.17;17408.44;1672.96;30855.72;129914.89
16725;Brittany Thompson;Sprv Adult Probation Ofc;105236.48;18530.27;1786.98;33219.28;138455.76
19809;Anna Bruce;Sprv Adult Probation Ofc;109986.92;19376.93;1835.71;34130.88;144117.8
2154;Mallory Rojas;Sprv Adult Probation Ofc;108637;19140.06;266.28;32324.58;140961.58
27167;Andrew Mcdaniel;Sprv Adult Probation Ofc;108637.03;19140.09;258.57;32316.9;140953.93
27853;Michael Harmon;Sprv Adult Probation Ofc;108637;19140.06;1833.29;33891.59;142528.59
33169;Brittany Rich;Sprv Adult Probation Ofc;108637.03;19140.09;1758.3;33816.63;142453.66
35593;Curtis Herrera;Sprv Adult Probation Ofc;40060.01;7242.81;98.22;12125.57;72215.58
49532;Mariah Guzman;Sprv Adult Probation Ofc;105365.7;18553.63;1788.15;33260.02;138625.72
50429;Patricia Martin;Sprv Adult Probation Ofc;108637.02;19140.07;1845.36;33903.67;142540.69
8274;Amanda Parker;Sprv Adult Probation Ofc;108637.05;19140.09;1843.77;33902.1;142539.15
55173;Diana Brown;Sprv Adult Prob Ofc (SFERS);95372.51;18773.21;1585.84;33277.29;128649.8
21476;James Chen;Court Invstgtor, Superior Crt;111893;22112.69;9409.57;44440.5;158835.5
30448;Tyler Scott;Court Invstgtor, Superior Crt;111456.15;21656.71;9268.62;43843.57;155923.72
31142;Stephanie Rubio;Court Invstgtor, Superior Crt;111892.99;21744.26;9301.45;43963.95;156456.94
53041;Paul West;Court Invstgtor, Superior Crt;111877.85;21738.62;9302.15;43959.01;156460.86
5435;Zachary Boyd;Court Invstgtor, Superior Crt;111893.03;21627.63;8719.52;43265.39;155158.42
9566;Julia Holder;Court Invstgtor, Superior Crt;31917.22;6860.86;2695.12;13344.38;45693.6
374;Amy Dixon;Probate Examiner;111877.83;21753.74;9246.41;43918.39;156495.22
47846;Erin Mullen;Probate Examiner;110446.46;21489.24;9049.15;43299.65;154394.11
49066;Kathryn Camacho;Probate Examiner;20027.4;4269.84;1592.67;8637.55;28664.95
56058;Kara Mclaughlin;Probate Examiner;111877.85;21742.87;9223.44;43884.55;156410.4
15324;Mrs. Morgan Sullivan;Counselor, Family Court Svc;62060.35;12688.09;5225.58;24904.18;90228.63
1673;Lisa Gray;Counselor, Family Court Svc;91190.33;17573.61;7260.99;35279.96;126662.29
23110;Mark Jimenez;Counselor, Family Court Svc;73211.03;15768.21;6073.81;30687.43;108859.29
27707;Michael Long;Counselor, Family Court Svc;111678;23095.94;9499.09;45489.35;165000.59
34636;Matthew Wade;Counselor, Family Court Svc;68526.72;14300.11;6178.52;28229.57;102356.75
43233;Kimberly Medina;Counselor, Family Court Svc;111877.86;23165.26;9505.38;45588.88;165459.01
45355;Crystal Buchanan;Counselor, Family Court Svc;111914.9;22799.34;9351.91;45069.49;163051.63
545;John Paul;Counselor, Family Court Svc;111877.88;22792.79;9444.39;45155.42;163100.55
16174;Daniel Conrad;Research Asst, Superior Court;61873.1;11733.11;5307.35;26370.31;90706.57
18716;Richard Huff;Research Asst, Superior Court;66717.3;6086.9;5517.78;22944.03;89661.33
227;Terry Gray;Research Asst, Superior Court;90702.49;17798.9;7498.9;38216.04;128918.53
23839;Justin Collins;Research Asst, Superior Court;11420;0;928.02;2363.38;13783.38
23880;Jessica Dickerson;Research Asst, Superior Court;66748.78;12693.27;6029.79;28292.13;101749.53
2569;Diane Nelson;Research Asst, Superior Court;64309.58;12242.04;6251.01;28157.81;104435.16
26037;Rachel Martinez;Research Asst, Superior Court;85720.58;16806.05;7086.79;36811.08;122531.66
29996;Maxwell Macias;Research Asst, Superior Court;70166.93;13490.41;6306.78;30394.94;106872.8
31477;Crystal Fuller;Research Asst, Superior Court;51054.49;9345.98;4766.47;21289.25;79475.63
36453;Donna Howard;Research Asst, Superior Court;58972.3;4260.83;4860.57;19121.08;78093.38
39189;Jorge Owens;Research Asst, Superior Court;85532;16766.1;7070.65;36754.99;122286.99
39364;Debra Thompson;Research Asst, Superior Court;13418.5;0;1088.55;3337.28;16755.78
45766;Wanda Campos;Research Asst, Superior Court;90391.08;17732.93;7154.55;37805.72;128196.8
47410;Walter Hernandez;Research Asst, Superior Court;19985;0;1632.35;4981.53;24966.53
47830;Juan Smith;Research Asst, Superior Court;90309.13;17715.56;7404.16;38037.96;128347.09
51731;Erin Perez;Research Asst, Superior Court;21412.5;0;1745.65;5334.05;26746.55
52130;Amanda Lopez;Research Asst, Superior Court;23036;0;1893.77;5003.72;28039.72
53883;Robert Norton;Research Asst, Superior Court;85250.78;16706.5;7007.41;36632.15;121882.93
55165;Anthony Simmons;Research Asst, Superior Court;78195.2;9857.95;6426.82;16284.77;94479.97
56659;Vincent Merritt;Research Asst, Superior Court;64793.5;6086.9;5365.64;22456.97;87250.47
5711;Cynthia Martinez;Research Asst, Superior Court;2426.75;0;192.93;599.62;3026.37
7621;Danielle Matthews;Research Asst, Superior Court;55115.56;3948.87;4538.04;17834.69;72950.25
8460;Alejandra Ross;Research Asst, Superior Court;24267.5;0;1994.58;6061.44;30328.94
10768;Brett Wilson DDS;Ct Comp App Analyst;110938.07;21314.31;9249.01;42701.75;154287.82
31361;Stephanie Wheeler;Ct Comp App Analyst;117829.78;22631.07;9464.71;45014.02;163491.8
11322;Shaun Ruiz;Ct Comp App Programmer;129549.78;24874.71;9742.35;47535.3;177733.08
40883;Andrew Ibarra;Ct Comp App Programmer;129549.79;24874.71;9677.77;47470.72;177668.51
49572;Lindsay Fernandez;Ct Comp App Programmer;129549.78;24874.71;9682.63;47475.58;177673.36
45353;Scott Higgins;Ct Comp Facilities Coord;9679.97;0;769.56;769.56;10449.53
263;Troy Schultz;Administrative Analyst II;10829.85;2308.93;860.97;4808.6;15638.45
39220;Allen Myers;Administrative Analyst II;53234.03;9693.88;4178.9;20810.35;74044.38
42764;Patrick Torres;Administrative Analyst II;40732.32;7417.32;3349.87;16030.18;56762.5
35101;Maria Morgan;Court Training Specialist;107211.33;21077.07;8826.88;42822.19;150345.52
38913;Shelby Davis;Court Training Specialist;105954.34;20908.59;8817.75;42486.1;149088.44
45080;Erica Anderson;Court Training Specialist;107211.33;21010.51;8866.15;42794.9;150006.23
38947;Robert Hinton;Personnel/Payroll Repres;95531.57;18716.53;7943.27;39578.04;135666.77
48142;Cindy Alvarado;Personnel/Payroll Repres;81147.38;15917.15;6712.76;35548.15;117305.04
48882;Shannon Andrade;Personnel/Payroll Repres;95531.55;18843.4;7806.93;39568.57;136989.78
11016;Brian White;Court Staff Attorney II;81897.31;15290.52;6802.19;30380.42;113677.73
17148;Angela Norris;Court Staff Attorney II;130201.68;24998.73;9763.09;47680.06;178529.74
235;Benjamin Briggs;Court Staff Attorney II;0;0;361.45;361.45;5086.26
28819;Cole Walters;Court Staff Attorney II;130136.85;24863.5;9747.59;47529.34;177666.19
34827;Wendy Mcgee;Court Staff Attorney II;127412.48;24496.28;9754.52;46891.31;174903.79
39494;William Abbott;Court Staff Attorney II;130201.68;24900.48;9786.95;47605.67;177951.35
53521;Rachel Davis;Court Staff Attorney II;40107.9;8491.02;3192.61;15989.71;56772.61
55880;Patricia Glover;Court Staff Attorney II;130201.68;24994.48;9763.63;47676.35;178502.03
56194;Kimberly Lewis;Court Staff Attorney II;40052.69;8699.15;3417.4;16501.03;57303.72
6601;Rhonda Newman;Court Staff Attorney II;130136.84;24978.75;9787.85;47684.84;178421.68
9183;Larry Jones;Court Staff Attorney II;4373.35;0;347.68;347.68;4721.03
9567;Raymond Bryant;Court Staff Attorney II;50946;10606.95;3496.61;19366.55;70312.55
19507;Catherine Rogers;Sr Court Staff Attorney;131801.01;25142.44;9898.69;45585.35;178034.36
45090;Marcus Perkins;Sr Court Staff Attorney;68306.13;12139.56;5390.18;22792.73;91338.86
52473;Christopher Carlson;Sr Court Staff Attorney;160173.14;30736.67;10344.58;53999.49;214820.63
52549;Kim Washington;Sr Court Staff Attorney;160143.08;31042.01;10373.86;54334.11;216717.19
109;April Matthews;Court Interpreter;34550.88;7120.82;2164.96;15137.87;51263.63
13707;Ronnie Schmidt;Court Interpreter;56046.52;11089.66;4487.61;25070.21;81518.17
16731;Kimberly Young;Court Interpreter;74786.6;14698.19;5945.54;33310.79;108097.39
17217;Jon Sims;Court Interpreter;41436.31;8535.33;3442.1;18995.75;62292.62
17767;Dana Elliott;Court Interpreter;76269.6;14986.92;6088.7;33993.86;110581.27
17881;Jason Richardson;Court Interpreter;76234.35;14980.49;6060.63;33953.39;110187.74
20127;James Warren;Court Interpreter;66576.33;13230.04;5342.22;29848.69;97046.48
20183;Christine Lopez;Court Interpreter;53971.34;11041.62;4438.78;15480.4;71314.19
21952;Lisa Dunlap;Court Interpreter;76269.63;14986.92;6067.65;33972.81;110295.41
33247;Anthony Reed;Court Interpreter;62887.13;12628.58;5074.27;28354.42;92781.69
36988;Jeffrey Thompson;Court Interpreter;75845.92;14900.97;5882.89;33630.34;109476.26
44558;William Black;Court Interpreter;51785.68;10472.71;3968.52;23212.48;75534.67
54444;Jessica Mann;Court Interpreter;72517.91;14263.11;5770.06;32315.97;105015.3
5469;Kim Montgomery MD;Court Interpreter;56036.97;11491.64;4639.98;25622.94;83987.49
7275;Mary Jackson;Court Interpreter;73919.73;14559;5876.62;32955.85;106875.58
7847;Gary Salazar;Court Interpreter;71043.74;13983.06;5670.99;31687.16;103020.4
29189;Shane Evans;Civil Case Settlmnt Specialist;107933.5;21136.51;7333.87;38517.9;146451.4
11715;Teresa Daniels;Ct Comp Sys Engineer II;117829.8;22631.09;9482.09;45031.42;163509.22
13120;Barbara Rodriguez;Ct Comp Sys Engineer II;117829.82;22631.11;9468.34;45017.69;163495.51
13432;Kenneth Black;Ct Comp Sys Engineer II;117824.97;22630.23;9500.59;45049.06;163522.03
10936;Hannah Thomas;Administrative Analyst I;55646.54;4992.72;4529.21;9521.93;65168.47
39220;Richard Valdez;Admin Analyst 3;45789.5;9754.51;3610.99;19346.17;65135.67
42764;Philip Sanchez;Admin Analyst 3;57097.34;11788.17;4696.49;24032.27;81129.61
6399;Richard Carlson;Admin Analyst 3;101142.02;19834.21;8363.47;41115.92;142257.94
23315;Lynn Kaufman;Sr Human Resources Analyst;97433.83;19120.36;7675.51;39699.17;137133
30858;Brandi Collier;Sr Human Resources Analyst;65135.76;11535.56;5362.29;23835.42;88971.18
44142;Jessica Evans;Sr Human Resources Analyst;32900.4;6849.88;2629.89;13211.71;46112.11
11320;Diane Williams;Principal Mgmt Analyst;123538.68;23600.06;9579.44;46097.74;169636.42
12803;Gregory Valdez;Principal Mgmt Analyst;29497.65;5224.04;3108.62;10964.15;49385.45
29189;Austin Aguirre;Principal Mgmt Analyst;31539.92;5585.72;2597.24;11053.69;42593.61
30858;Michael Perkins;Principal Mgmt Analyst;55699.4;11596.61;4175.27;21752.55;77451.95
9567;Todd Caldwell;Principal Mgmt Analyst;74535.37;13746.27;6153.52;27555.04;102090.41
45090;Brent Yang;Managing Attorney;99682.1;20095.34;6947.27;34697.86;134379.96
53415;Nicole Mason;Mental Health Hearing Officer;102025.11;20004.17;12746.77;45669.18;147694.29
10455;Jennifer Thompson;Communications Director;131136.08;25069.52;14343.92;52331.68;183467.76
26174;William Ryan;Director, Info Tech Group;183970.4;35190.37;14754.89;62863.5;246833.9
56212;Angela Johnson;Director, Human Resources;135247.41;25771.87;16273.82;54442.9;189690.31
704;William Morris;Director, Fiscal Services;150056.84;28695.25;16381.85;57995.34;208052.18
35327;Stacey Romero DDS;Court Executive Officer;218464.09;41850.63;11734.27;66503.14;284967.23
10777;Mary Yang;Court Reporter;110688.26;22440.04;9449.49;43606.92;160190.64
12170;Brett Glenn;Court Reporter;7582.4;1411.7;2418.14;4332.22;35203.44
13953;Nancy Ward;Court Reporter;34221.12;0;2720.58;2720.58;36941.7
14488;Jonathan Gordon;Court Reporter;122042.91;25582.79;9783.56;48284.59;182181.8
15619;Erika Young;Court Reporter;22799.39;5218.23;2058.97;9908.69;34988.02
